dateTime,Time,Flow,Height
2015-12-24T00:00:00,24,42.519,1.363
2015-12-24T00:15:00,24.0104,42.239,1.357
2015-12-24T00:30:00,24.0208,42.007,1.352
2015-12-24T00:45:00,24.0313,41.683,1.345
2015-12-24T01:00:00,24.0417,41.359,1.338
2015-12-24T01:15:00,24.0521,41.221,1.335
2015-12-24T01:30:00,24.0625,40.852,1.327
2015-12-24T01:45:00,24.0729,40.623,1.322
2015-12-24T02:00:00,24.0833,40.393,1.317
2015-12-24T02:15:00,24.0938,40.119,1.311
2015-12-24T02:30:00,24.1042,39.753,1.303
2015-12-24T02:45:00,24.1146,39.571,1.299
2015-12-24T03:00:00,24.125,39.207,1.291
2015-12-24T03:15:00,24.1354,38.799,1.282
2015-12-24T03:30:00,24.1458,38.709,1.28
2015-12-24T03:45:00,24.1563,38.393,1.273
2015-12-24T04:00:00,24.1667,38.078,1.266
2015-12-24T04:15:00,24.1771,37.763,1.259
2015-12-24T04:30:00,24.1875,37.584,1.255
2015-12-24T04:45:00,24.1979,37.137,1.245
2015-12-24T05:00:00,24.2083,36.869,1.239
2015-12-24T05:15:00,24.2188,36.736,1.236
2015-12-24T05:30:00,24.2292,36.38,1.228
2015-12-24T05:45:00,24.2396,36.203,1.224
2015-12-24T06:00:00,24.25,35.85,1.216
2015-12-24T06:15:00,24.2604,35.629,1.211
2015-12-24T06:30:00,24.2708,35.409,1.206
2015-12-24T06:45:00,24.2813,35.19,1.201
2015-12-24T07:00:00,24.2917,35.19,1.201
2015-12-24T07:15:00,24.3021,34.927,1.195
2015-12-24T07:30:00,24.3125,34.446,1.184
2015-12-24T07:45:00,24.3229,34.403,1.183
2015-12-24T08:00:00,24.3333,34.185,1.178
2015-12-24T08:15:00,24.3438,34.011,1.174
2015-12-24T08:30:00,24.3542,33.795,1.169
2015-12-24T08:45:00,24.3646,33.708,1.167
2015-12-24T09:00:00,24.375,33.578,1.164
2015-12-24T09:15:00,24.3854,33.276,1.157
2015-12-24T09:30:00,24.3958,33.276,1.157
2015-12-24T09:45:00,24.4063,33.406,1.16
2015-12-24T10:00:00,24.4167,33.276,1.157
2015-12-24T10:15:00,24.4271,33.362,1.159
2015-12-24T10:30:00,24.4375,33.147,1.154
2015-12-24T10:45:00,24.4479,33.104,1.153
2015-12-24T11:00:00,24.4583,33.061,1.152
2015-12-24T11:15:00,24.4688,33.276,1.157
2015-12-24T11:30:00,24.4792,33.622,1.165
2015-12-24T11:45:00,24.4896,34.272,1.18
2015-12-24T12:00:00,24.5,34.36,1.182
2015-12-24T12:15:00,24.5104,34.796,1.192
2015-12-24T12:30:00,24.5208,35.366,1.205
2015-12-24T12:45:00,24.5313,35.806,1.215
2015-12-24T13:00:00,24.5417,36.292,1.226
2015-12-24T13:15:00,24.5521,37.182,1.246
2015-12-24T13:30:00,24.5625,38.213,1.269
2015-12-24T13:45:00,24.5729,39.027,1.287
2015-12-24T14:00:00,24.5833,39.663,1.301
2015-12-24T14:15:00,24.5938,40.074,1.31
2015-12-24T14:30:00,24.6042,40.12,1.311
2015-12-24T14:45:00,24.6146,40.532,1.32
2015-12-24T15:00:00,24.625,40.716,1.324
2015-12-24T15:15:00,24.6354,41.407,1.339
2015-12-24T15:30:00,24.6458,41.777,1.347
2015-12-24T15:45:00,24.6563,42.707,1.367
2015-12-24T16:00:00,24.6667,43.455,1.383
2015-12-24T16:15:00,24.6771,43.925,1.393
2015-12-24T16:30:00,24.6875,44.68,1.409
2015-12-24T16:45:00,24.6979,45.296,1.422
2015-12-24T17:00:00,24.7083,45.487,1.426
2015-12-24T17:15:00,24.7188,45.772,1.432
2015-12-24T17:30:00,24.7292,45.582,1.428
2015-12-24T17:45:00,24.7396,45.439,1.425
2015-12-24T18:00:00,24.75,45.249,1.421
2015-12-24T18:15:00,24.7604,45.154,1.419
2015-12-24T18:30:00,24.7708,44.775,1.411
2015-12-24T18:45:00,24.7813,44.491,1.405
2015-12-24T19:00:00,24.7917,44.444,1.404
2015-12-24T19:15:00,24.8021,43.831,1.391
2015-12-24T19:30:00,24.8125,43.643,1.387
2015-12-24T19:45:00,24.8229,43.268,1.379
2015-12-24T20:00:00,24.8333,43.127,1.376
2015-12-24T20:15:00,24.8438,42.94,1.372
2015-12-24T20:30:00,24.8542,42.567,1.364
2015-12-24T20:45:00,24.8646,42.521,1.363
2015-12-24T21:00:00,24.875,42.521,1.363
2015-12-24T21:15:00,24.8854,42.288,1.358
2015-12-24T21:30:00,24.8958,42.102,1.354
2015-12-24T21:45:00,24.9063,41.963,1.351
2015-12-24T22:00:00,24.9167,41.917,1.35
2015-12-24T22:15:00,24.9271,41.917,1.35
2015-12-24T22:30:00,24.9375,41.685,1.345
2015-12-24T22:45:00,24.9479,41.407,1.339
2015-12-24T23:00:00,24.9583,41.408,1.339
2015-12-24T23:15:00,24.9688,41.269,1.336
